,sample_id,cell_label,cell_area,nucleus_count,nucleus_area,nucleus_frac,mito_frac,glycogen_frac,er_frac,cyto_frac
112,854,113,8696210,1,1179309,0.13561183550075262,0.12211549629091294,0.11041350197384837,0.046110432015786185,0.5857487342186999
113,854,114,8057049,0,0,0.0,0.1184345533954181,0.17333591988828664,0.031062117159769042,0.6771674095565262
114,854,115,11947115,1,1526083,0.12773652886073333,0.1157938966855178,0.1253174511168596,0.04302034424210364,0.5881317790947856
115,854,116,12695016,1,775100,0.061055456724119134,0.14480808846558366,0.13509159815158958,0.04644491980159773,0.6125999368571099
116,854,117,4778267,0,0,0.0,0.10951753010034809,0.22580236725992917,0.025645908861936764,0.6390341937777859
117,854,118,1783591,0,0,0.0,0.1422215070607555,0.11986772752273363,0.02870276874014278,0.709207996676368
118,854,119,7116020,0,0,0.0,0.13004390094462917,0.1404048892498897,0.047562541982737544,0.6819886678227436
119,854,120,11651089,2,2414664,0.20724792334862432,0.0935051650536701,0.10339831753066173,0.04739668540854851,0.5484519086584954
120,854,121,6334419,0,0,0.0,0.11600827163469925,0.13902900960609016,0.031340364443842444,0.7136223543153681
121,854,122,15691071,1,1342301,0.0855455309583393,0.08379944237075977,0.25266477986110697,0.029662984763755132,0.5483272620460388
122,854,123,9483772,1,360625,0.03802548184414387,0.0904067495507062,0.15897440385534364,0.04321940679299334,0.669373957956813
123,854,124,5719958,1,544880,0.0952594407161731,0.09910404936539743,0.17509411782394207,0.02752939794313175,0.6030129941513557
124,854,125,7419432,1,1168501,0.15749197512693694,0.12771112397822368,0.1350030568377741,0.04816190781181093,0.5316319362452544
125,854,126,3774407,0,0,0.0,0.1401753970888672,0.1349022508701367,0.040434961041562294,0.6844873909994338
126,854,127,10029082,1,968050,0.09652428806544806,0.14261065967952002,0.13650790770281868,0.04470588634134211,0.5796512582108712
127,854,128,2844739,0,0,0.0,0.1218477336585184,0.1546753498299844,0.0232042377174145,0.7002726787940827
128,854,129,7623451,0,0,0.0,0.1997106035048956,0.1398379815125722,0.05295974224796618,0.6074916727345661
129,854,130,6472848,1,455360,0.07034924966568039,0.16553177210402592,0.13580173673165197,0.043148858122421536,0.5851683833762201
130,854,131,8714100,0,0,0.0,0.1335868305390115,0.15977610998267175,0.04108043286168394,0.6655566266166328
131,854,132,2078376,0,0,0.0,0.1940082064073103,0.18970292189671167,0.043573925026078056,0.5727149466699
132,854,133,2479125,0,0,0.0,0.17082156002621893,0.15365622951646246,0.03518459133766954,0.640337619119649
133,854,134,8621803,0,0,0.0,0.1532982138422787,0.18788738272029643,0.037593296900891846,0.6212211065365331
134,854,135,6829657,1,1036886,0.15182109438292435,0.14057455594036422,0.1505191256310529,0.044937395831152284,0.5121478282145062
135,854,136,5586416,0,0,0.0,0.18414543421041327,0.23031797130754317,0.030102663317590383,0.5554339311644532
136,854,137,8377975,1,1519200,0.18133260125507655,0.1537796424553666,0.1286000495346429,0.05450792106684491,0.481779785688069
137,854,138,7267168,1,924935,0.12727585216139217,0.11432046156081709,0.16018949885292316,0.04265609381811457,0.555558093606753
138,854,139,4123830,0,0,0.0,0.22497653880009602,0.140569567610692,0.05479687571990116,0.5796570178693108
